ID Transação;ID Cliente;Data Compra;Data Envio;Tempo Entrega (dias);Região;Categoria Produto;Produto;Forma Pagamento;Valor Compra (R$);Reclamação;Comentários;Nota
203;CUST00203;27/05/25;29/05/25;2;Nordeste;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;328;Não;-;3
204;CUST00204;25/06/25;30/06/25;5;Sudeste;Bebidas;Cerveja Pilsen 350ml (pack 6);PIX;1473;Não;-;3
205;CUST00205;04/06/25;05/06/25;1;Centro-Oeste;Higiene Pessoal;Shampoo 400ml;PIX;1250;Não;Ótima qualidade;5
206;CUST00206;15/06/25;17/06/25;2;Nordeste;Bebidas;Água Mineral 1,5L;Cartão Crédito;352;Sim;Produto danificado;1
207;CUST00207;25/05/25;26/05/25;1;Sudeste;Higiene Pessoal;Sabonete em Barra;PIX;304;Não;-;3
208;CUST00208;24/05/25;01/06/25;8;Norte;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;505;Não;Atendimento excelente;5
209;CUST00209;30/06/25;10/07/25;10;Sul;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;393;Não;Atendimento excelente;4
210;CUST00210;28/05/25;01/06/25;4;Centro-Oeste;Bebidas;Água Mineral 1,5L;Cartão Crédito;320;Não;-;3
211;CUST00211;18/06/25;19/06/25;1;Nordeste;Higiene Pessoal;Papel Higiênico c/12;Cartão Crédito;1014;Não;-;3
212;CUST00212;29/06/25;30/06/25;1;Centro-Oeste;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Débito;2799;Não;-;3
213;CUST00213;02/06/25;12/06/25;10;Sul;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1483;Não;-;3
214;CUST00214;19/05/25;26/05/25;7;Sul;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Débito;1103;Não;-;3
215;CUST00215;04/06/25;08/06/25;4;Sudeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Débito;407;Sim;Quantidade incorreta;1
216;CUST00216;26/06/25;30/06/25;4;Centro-Oeste;Bebidas;Refrigerante Cola 2L;Cartão Débito;1005;Não;Atendimento excelente;4
217;CUST00217;20/05/25;25/05/25;5;Nordeste;Higiene Pessoal;Sabonete em Barra;PIX;383;Não;-;3
218;CUST00218;21/05/25;26/05/25;5;Nordeste;Bebidas;Suco de Laranja 1L;PIX;640;Não;Ótima qualidade;4
219;CUST00219;28/06/25;01/07/25;3;Nordeste;Bebidas;Água Mineral 1,5L;Cartão Crédito;201;Não;-;3
220;CUST00220;18/06/25;26/06/25;8;Norte;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Crédito;3009;Não;Entrega rápida e sem problemas;5
221;CUST00221;20/05/25;26/05/25;6;Sul;Higiene Pessoal;Shampoo 400ml;PIX;1770;Não;-;3
222;CUST00222;13/06/25;14/06/25;1;Sudeste;Bebidas;Refrigerante Cola 2L;Cartão Crédito;690;Não;-;3
223;CUST00223;26/05/25;31/05/25;5;Nordeste;Higiene Pessoal;Shampoo 400ml;Dinheiro;1130;Não;-;3
224;CUST00224;21/06/25;28/06/25;7;Norte;Higiene Pessoal;Creme Dental 90g;Cartão Débito;299;Sim;Atraso na entrega;2
225;CUST00225;09/06/25;11/06/25;2;Nordeste;Higiene Pessoal;Creme Dental 90g;Cartão Débito;253;Não;-;3
226;CUST00226;15/06/25;17/06/25;2;Centro-Oeste;Limpeza Doméstica;Sabão em Pó 1kg;PIX;919;Não;-;3
227;CUST00227;14/06/25;19/06/25;5;Sudeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Débito;1304;Não;-;3
228;CUST00228;27/05/25;01/06/25;5;Norte;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;344;Não;-;3
229;CUST00229;15/06/25;16/06/25;1;Sudeste;Higiene Pessoal;Papel Higiênico c/12;PIX;2022;Não;Produto conforme anunciado;4
230;CUST00230;03/06/25;13/06/25;10;Norte;Limpeza Doméstica;Esponja Múltipla;PIX;107;Não;-;3
231;CUST00231;26/05/25;30/05/25;4;Nordeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1908;Não;Ótima qualidade;5
232;CUST00232;19/06/25;22/06/25;3;Centro-Oeste;Alimentos Básicos;Feijão Carioca (1kg);Dinheiro;1143;Não;Compra sem complicações;5
233;CUST00233;23/06/25;02/07/25;9;Norte;Higiene Pessoal;Shampoo 400ml;PIX;1134;Não;Atendimento excelente;4
234;CUST00234;18/05/25;28/05/25;10;Norte;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;172;Não;-;3
235;CUST00235;03/06/25;06/06/25;3;Nordeste;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;215;Sim;Quantidade incorreta;2
236;CUST00236;19/05/25;26/05/25;7;Norte;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;514;Não;-;3
237;CUST00237;10/06/25;11/06/25;1;Sudeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Débito;785;Sim;Atendimento ruim;1
238;CUST00238;28/05/25;31/05/25;3;Nordeste;Higiene Pessoal;Sabonete em Barra;PIX;395;Não;-;3
239;CUST00239;15/06/25;16/06/25;1;Nordeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1728;Sim;Produto diferente do pedido;2
240;CUST00240;27/05/25;06/06/25;10;Norte;Bebidas;Refrigerante Cola 2L;PIX;1190;Não;-;3
241;CUST00241;26/05/25;28/05/25;2;Centro-Oeste;Alimentos Básicos;Macarrão Espaguete 500g;PIX;723;Não;-;3
242;CUST00242;29/05/25;08/06/25;10;Norte;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Crédito;1260;Não;-;3
243;CUST00243;30/06/25;08/07/25;8;Norte;Bebidas;Água Mineral 1,5L;PIX;444;Não;-;3
244;CUST00244;06/06/25;15/06/25;9;Norte;Higiene Pessoal;Papel Higiênico c/12;Cartão Crédito;1570;Não;-;3
245;CUST00245;16/05/25;18/05/25;2;Nordeste;Bebidas;Refrigerante Cola 2L;Cartão Débito;1110;Sim;Prazo de entrega excedido;1
246;CUST00246;06/06/25;16/06/25;10;Norte;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;262;Não;-;3
247;CUST00247;18/06/25;22/06/25;4;Sudeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Débito;1289;Não;-;3
248;CUST00248;13/06/25;18/06/25;5;Nordeste;Alimentos Básicos;Macarrão Espaguete 500g;PIX;459;Sim;Cobrança duplicada;2
249;CUST00249;04/06/25;12/06/25;8;Norte;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;204;Não;Entrega rápida e sem problemas;4
250;CUST00250;22/06/25;27/06/25;5;Sudeste;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;171;Não;-;3
251;CUST00251;10/06/25;11/06/25;1;Nordeste;Alimentos Básicos;Feijão Carioca (1kg);PIX;1129;Não;-;3
252;CUST00252;04/06/25;09/06/25;5;Norte;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;613;Não;-;3
253;CUST00253;01/06/25;05/06/25;4;Sudeste;Higiene Pessoal;Papel Higiênico c/12;PIX;2163;Não;Produto conforme anunciado;4
254;CUST00254;31/05/25;06/06/25;6;Norte;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Débito;526;Não;-;3
255;CUST00255;18/06/25;26/06/25;8;Norte;Bebidas;Cerveja Pilsen 350ml (pack 6);PIX;1668;Não;-;3
256;CUST00256;12/06/25;18/06/25;6;Norte;Alimentos Básicos;Macarrão Espaguete 500g;PIX;732;Não;-;3
257;CUST00257;10/06/25;13/06/25;3;Nordeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;641;Não;Produto conforme anunciado;5
258;CUST00258;06/06/25;13/06/25;7;Norte;Higiene Pessoal;Sabonete em Barra;Dinheiro;327;Não;-;3
259;CUST00259;15/06/25;25/06/25;10;Sul;Bebidas;Suco de Laranja 1L;Cartão Débito;788;Sim;Produto danificado;1
260;CUST00260;07/06/25;12/06/25;5;Sul;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;294;Não;-;3
261;CUST00261;30/05/25;06/06/25;7;Norte;Limpeza Doméstica;Desinfetante 1L;Cartão Crédito;646;Não;-;3
262;CUST00262;10/06/25;13/06/25;3;Sudeste;Alimentos Básicos;Arroz Tipo 1 (5kg);PIX;2072;Sim;Produto diferente do pedido;1
263;CUST00263;18/06/25;24/06/25;6;Sul;Higiene Pessoal;Sabonete em Barra;PIX;267;Não;-;3
264;CUST00264;10/06/25;13/06/25;3;Sudeste;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;516;Sim;Atraso na entrega;1
265;CUST00265;17/06/25;23/06/25;6;Norte;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Crédito;2021;Sim;Produto diferente do pedido;1
266;CUST00266;20/05/25;30/05/25;10;Norte;Limpeza Doméstica;Esponja Múltipla;Cartão Débito;171;Não;-;3
267;CUST00267;01/06/25;08/06/25;7;Sul;Limpeza Doméstica;Desinfetante 1L;Cartão Crédito;355;Não;-;3
268;CUST00268;10/06/25;13/06/25;3;Centro-Oeste;Bebidas;Refrigerante Cola 2L;Cartão Débito;612;Não;-;3
269;CUST00269;17/06/25;18/06/25;1;Nordeste;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Débito;660;Não;-;3
270;CUST00270;28/06/25;30/06/25;2;Sudeste;Higiene Pessoal;Shampoo 400ml;PIX;1182;Não;-;3
271;CUST00271;20/05/25;27/05/25;7;Norte;Bebidas;Refrigerante Cola 2L;Cartão Crédito;615;Não;-;3
272;CUST00272;30/05/25;02/06/25;3;Sudeste;Higiene Pessoal;Papel Higiênico c/12;Cartão Crédito;1612;Sim;Embalagem violada;2
273;CUST00273;15/06/25;25/06/25;10;Norte;Alimentos Básicos;Farinha de Trigo 1kg;PIX;828;Não;-;3
274;CUST00274;29/05/25;01/06/25;3;Centro-Oeste;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;317;Não;-;3
275;CUST00275;08/06/25;18/06/25;10;Norte;Higiene Pessoal;Creme Dental 90g;Cartão Crédito;530;Não;-;3
276;CUST00276;30/05/25;03/06/25;4;Nordeste;Alimentos Básicos;Macarrão Espaguete 500g;PIX;782;Não;-;3
277;CUST00277;26/06/25;04/07/25;8;Norte;Alimentos Básicos;Arroz Tipo 1 (5kg);PIX;2105;Não;-;3
278;CUST00278;26/06/25;29/06/25;3;Nordeste;Bebidas;Refrigerante Cola 2L;Cartão Débito;979;Sim;Cobrança duplicada;1
279;CUST00279;25/06/25;30/06/25;5;Sul;Higiene Pessoal;Shampoo 400ml;Cartão Crédito;1416;Não;Entrega rápida e sem problemas;4
280;CUST00280;17/06/25;20/06/25;3;Sudeste;Alimentos Básicos;Farinha de Trigo 1kg;PIX;497;Sim;Cobrança duplicada;1
281;CUST00281;28/05/25;02/06/25;5;Nordeste;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;425;Não;-;3
282;CUST00282;02/06/25;06/06/25;4;Centro-Oeste;Alimentos Básicos;Macarrão Espaguete 500g;PIX;555;Não;-;3
283;CUST00283;28/05/25;03/06/25;6;Norte;Higiene Pessoal;Papel Higiênico c/12;Cartão Débito;1928;Não;-;3
284;CUST00284;04/06/25;06/06/25;2;Centro-Oeste;Limpeza Doméstica;Esponja Múltipla;PIX;225;Não;-;3
285;CUST00285;21/06/25;26/06/25;5;Norte;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;683;Não;-;3
286;CUST00286;30/05/25;02/06/25;3;Sudeste;Higiene Pessoal;Sabonete em Barra;PIX;319;Não;-;3
287;CUST00287;29/05/25;03/06/25;5;Sudeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Dinheiro;1727;Não;-;3
288;CUST00288;21/05/25;26/05/25;5;Norte;Bebidas;Refrigerante Cola 2L;PIX;848;Sim;Produto diferente do pedido;2
289;CUST00289;02/06/25;05/06/25;3;Nordeste;Bebidas;Cerveja Pilsen 350ml (pack 6);PIX;1708;Não;-;3
290;CUST00290;17/05/25;20/05/25;3;Nordeste;Bebidas;Suco de Laranja 1L;Cartão Crédito;826;Não;-;3
291;CUST00291;27/06/25;01/07/25;4;Centro-Oeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1393;Não;-;3
292;CUST00292;26/06/25;03/07/25;7;Sul;Limpeza Doméstica;Desinfetante 1L;Cartão Débito;671;Sim;Atraso na entrega;2
293;CUST00293;23/06/25;24/06/25;1;Centro-Oeste;Limpeza Doméstica;Detergente Líquido 500ml;PIX;203;Sim;Atraso na entrega;2
294;CUST00294;28/06/25;30/06/25;2;Sudeste;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;132;Não;Entrega rápida e sem problemas;5
295;CUST00295;21/06/25;23/06/25;2;Sudeste;Higiene Pessoal;Papel Higiênico c/12;PIX;1032;Não;-;3
296;CUST00296;20/06/25;21/06/25;1;Nordeste;Higiene Pessoal;Shampoo 400ml;PIX;1693;Não;-;3
297;CUST00297;04/06/25;05/06/25;1;Sudeste;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Débito;1239;Não;-;3
298;CUST00298;22/05/25;27/05/25;5;Sul;Limpeza Doméstica;Detergente Líquido 500ml;PIX;441;Não;-;3
299;CUST00299;16/05/25;17/05/25;1;Nordeste;Higiene Pessoal;Creme Dental 90g;Cartão Crédito;378;Não;-;3
300;CUST00300;06/06/25;11/06/25;5;Nordeste;Higiene Pessoal;Creme Dental 90g;Cartão Crédito;326;Não;-;3
301;CUST00301;21/05/25;22/05/25;1;Centro-Oeste;Alimentos Básicos;Feijão Carioca (1kg);Cartão Crédito;938;Não;-;3
302;CUST00302;24/05/25;27/05/25;3;Nordeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1945;Não;-;3
303;CUST00303;27/05/25;04/06/25;8;Norte;Higiene Pessoal;Papel Higiênico c/12;Cartão Débito;1151;Não;-;3
304;CUST00304;25/05/25;30/05/25;5;Sudeste;Limpeza Doméstica;Esponja Múltipla;Dinheiro;116;Não;-;3
305;CUST00305;13/06/25;22/06/25;9;Sul;Higiene Pessoal;Shampoo 400ml;PIX;1360;Não;-;3
306;CUST00306;22/06/25;27/06/25;5;Norte;Bebidas;Água Mineral 1,5L;Cartão Crédito;480;Não;Atendimento excelente;5
307;CUST00307;30/06/25;05/07/25;5;Sul;Bebidas;Refrigerante Cola 2L;Cartão Débito;824;Não;-;3
308;CUST00308;17/05/25;27/05/25;10;Norte;Higiene Pessoal;Shampoo 400ml;PIX;1365;Não;-;3
309;CUST00309;16/06/25;20/06/25;4;Centro-Oeste;Higiene Pessoal;Shampoo 400ml;Cartão Crédito;1010;Não;-;3
310;CUST00310;23/05/25;27/05/25;4;Centro-Oeste;Higiene Pessoal;Papel Higiênico c/12;Dinheiro;1144;Não;-;3
311;CUST00311;12/06/25;18/06/25;6;Sul;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Débito;1351;Não;Entrega rápida e sem problemas;4
312;CUST00312;17/06/25;19/06/25;2;Centro-Oeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Débito;1373;Não;Compra sem complicações;5
313;CUST00313;23/06/25;01/07/25;8;Sul;Limpeza Doméstica;Sabão em Pó 1kg;PIX;986;Sim;Quantidade incorreta;2
314;CUST00314;17/05/25;26/05/25;9;Norte;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Débito;620;Sim;Produto diferente do pedido;1
315;CUST00315;06/06/25;14/06/25;8;Norte;Higiene Pessoal;Shampoo 400ml;Cartão Débito;912;Não;-;3
316;CUST00316;05/06/25;10/06/25;5;Sudeste;Bebidas;Refrigerante Cola 2L;PIX;1157;Não;Ótima qualidade;4
317;CUST00317;14/06/25;17/06/25;3;Nordeste;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;725;Não;-;3
318;CUST00318;10/06/25;15/06/25;5;Norte;Higiene Pessoal;Papel Higiênico c/12;Cartão Crédito;1369;Não;-;3
319;CUST00319;04/06/25;08/06/25;4;Sudeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;573;Sim;Prazo de entrega excedido;1
320;CUST00320;14/06/25;16/06/25;2;Centro-Oeste;Bebidas;Suco de Laranja 1L;PIX;512;Não;-;3
321;CUST00321;23/05/25;26/05/25;3;Centro-Oeste;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;221;Sim;Cobrança duplicada;2
322;CUST00322;10/06/25;14/06/25;4;Sudeste;Higiene Pessoal;Shampoo 400ml;Cartão Crédito;1795;Não;-;3
323;CUST00323;29/06/25;03/07/25;4;Sudeste;Bebidas;Água Mineral 1,5L;Cartão Débito;401;Não;-;3
324;CUST00324;28/05/25;02/06/25;5;Sul;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Crédito;969;Sim;Embalagem violada;1
325;CUST00325;21/06/25;01/07/25;10;Norte;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;690;Sim;Prazo de entrega excedido;1
326;CUST00326;03/06/25;07/06/25;4;Nordeste;Alimentos Básicos;Feijão Carioca (1kg);Cartão Débito;899;Não;-;3
327;CUST00327;13/06/25;20/06/25;7;Sul;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Débito;444;Não;-;3
328;CUST00328;24/06/25;26/06/25;2;Nordeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1393;Não;Compra sem complicações;5
329;CUST00329;29/06/25;03/07/25;4;Nordeste;Higiene Pessoal;Papel Higiênico c/12;PIX;1870;Sim;Quantidade incorreta;2
330;CUST00330;27/06/25;29/06/25;2;Nordeste;Higiene Pessoal;Sabonete em Barra;PIX;248;Não;-;3
331;CUST00331;27/05/25;01/06/25;5;Centro-Oeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;491;Não;Compra sem complicações;5
332;CUST00332;30/05/25;09/06/25;10;Norte;Alimentos Básicos;Feijão Carioca (1kg);Cartão Crédito;701;Não;-;3
333;CUST00333;24/05/25;02/06/25;9;Sul;Bebidas;Refrigerante Cola 2L;Cartão Débito;1150;Sim;Produto danificado;1
334;CUST00334;07/06/25;08/06/25;1;Nordeste;Bebidas;Suco de Laranja 1L;Cartão Débito;786;Não;-;3
335;CUST00335;21/05/25;23/05/25;2;Sudeste;Higiene Pessoal;Papel Higiênico c/12;PIX;1148;Não;-;3
336;CUST00336;27/05/25;28/05/25;1;Centro-Oeste;Bebidas;Suco de Laranja 1L;Cartão Débito;602;Não;-;3
337;CUST00337;30/05/25;09/06/25;10;Norte;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1736;Não;-;3
338;CUST00338;22/06/25;25/06/25;3;Sudeste;Bebidas;Suco de Laranja 1L;PIX;798;Não;-;3
339;CUST00339;29/05/25;31/05/25;2;Nordeste;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Débito;953;Sim;Produto danificado;1
340;CUST00340;09/06/25;16/06/25;7;Norte;Bebidas;Refrigerante Cola 2L;PIX;907;Não;-;3
341;CUST00341;03/06/25;11/06/25;8;Sul;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;353;Não;-;3
342;CUST00342;21/05/25;25/05/25;4;Centro-Oeste;Limpeza Doméstica;Esponja Múltipla;PIX;277;Não;-;3
343;CUST00343;19/05/25;25/05/25;6;Norte;Alimentos Básicos;Feijão Carioca (1kg);Cartão Crédito;1095;Não;-;3
344;CUST00344;25/05/25;28/05/25;3;Nordeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Débito;605;Sim;Produto danificado;2
345;CUST00345;04/06/25;09/06/25;5;Centro-Oeste;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;567;Não;-;3
346;CUST00346;23/05/25;01/06/25;9;Norte;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Débito;742;Não;-;3
347;CUST00347;09/06/25;10/06/25;1;Nordeste;Limpeza Doméstica;Esponja Múltipla;Cartão Débito;112;Sim;Atraso na entrega;2
348;CUST00348;23/06/25;29/06/25;6;Sul;Higiene Pessoal;Creme Dental 90g;PIX;264;Não;-;3
349;CUST00349;27/06/25;04/07/25;7;Sul;Limpeza Doméstica;Desinfetante 1L;Cartão Débito;585;Não;-;3
350;CUST00350;17/06/25;22/06/25;5;Norte;Bebidas;Suco de Laranja 1L;Cartão Débito;966;Não;-;3
351;CUST00351;27/06/25;05/07/25;8;Norte;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;346;Não;Ótima qualidade;4
352;CUST00352;29/06/25;30/06/25;1;Centro-Oeste;Alimentos Básicos;Arroz Tipo 1 (5kg);PIX;2163;Sim;Quantidade incorreta;2
353;CUST00353;17/06/25;21/06/25;4;Nordeste;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Débito;1363;Não;-;3
354;CUST00354;26/05/25;31/05/25;5;Norte;Limpeza Doméstica;Detergente Líquido 500ml;PIX;513;Não;-;3
355;CUST00355;18/06/25;20/06/25;2;Centro-Oeste;Alimentos Básicos;Feijão Carioca (1kg);Cartão Crédito;1132;Sim;Produto diferente do pedido;1
356;CUST00356;30/06/25;08/07/25;8;Norte;Alimentos Básicos;Macarrão Espaguete 500g;Cartão Crédito;638;Não;-;3
357;CUST00357;27/05/25;01/06/25;5;Sudeste;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;424;Não;Atendimento excelente;5
358;CUST00358;16/05/25;24/05/25;8;Sul;Alimentos Básicos;Macarrão Espaguete 500g;Dinheiro;765;Sim;Embalagem violada;2
359;CUST00359;08/06/25;09/06/25;1;Sudeste;Higiene Pessoal;Creme Dental 90g;Cartão Crédito;482;Não;-;3
360;CUST00360;17/05/25;22/05/25;5;Sul;Bebidas;Suco de Laranja 1L;Cartão Crédito;561;Não;-;3
361;CUST00361;12/06/25;19/06/25;7;Sul;Bebidas;Suco de Laranja 1L;PIX;837;Não;-;3
362;CUST00362;01/06/25;11/06/25;10;Norte;Limpeza Doméstica;Desinfetante 1L;PIX;616;Não;Produto conforme anunciado;5
363;CUST00363;10/06/25;11/06/25;1;Sudeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Débito;1871;Não;-;3
364;CUST00364;14/06/25;18/06/25;4;Centro-Oeste;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;260;Não;-;3
365;CUST00365;08/06/25;10/06/25;2;Centro-Oeste;Higiene Pessoal;Creme Dental 90g;Cartão Crédito;551;Não;-;3
366;CUST00366;17/05/25;21/05/25;4;Centro-Oeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Débito;673;Não;-;3
367;CUST00367;29/05/25;06/06/25;8;Sul;Alimentos Básicos;Feijão Carioca (1kg);Cartão Crédito;773;Não;-;3
368;CUST00368;10/06/25;13/06/25;3;Nordeste;Limpeza Doméstica;Esponja Múltipla;Cartão Crédito;249;Não;-;3
369;CUST00369;03/06/25;05/06/25;2;Centro-Oeste;Limpeza Doméstica;Detergente Líquido 500ml;Dinheiro;482;Sim;Atraso na entrega;1
370;CUST00370;28/05/25;06/06/25;9;Norte;Alimentos Básicos;Feijão Carioca (1kg);Cartão Débito;910;Não;-;3
371;CUST00371;31/05/25;04/06/25;4;Sudeste;Alimentos Básicos;Farinha de Trigo 1kg;PIX;430;Não;-;3
372;CUST00372;14/06/25;20/06/25;6;Sul;Higiene Pessoal;Papel Higiênico c/12;Cartão Crédito;2073;Não;-;3
373;CUST00373;06/06/25;07/06/25;1;Sudeste;Limpeza Doméstica;Desinfetante 1L;Cartão Crédito;352;Sim;Embalagem violada;2
374;CUST00374;19/05/25;26/05/25;7;Sul;Bebidas;Suco de Laranja 1L;Cartão Crédito;701;Sim;Produto danificado;2
375;CUST00375;23/06/25;02/07/25;9;Sul;Alimentos Básicos;Arroz Tipo 1 (5kg);PIX;2688;Não;-;3
376;CUST00376;19/06/25;26/06/25;7;Norte;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;201;Sim;Cobrança duplicada;2
377;CUST00377;30/05/25;02/06/25;3;Nordeste;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;264;Sim;Produto diferente do pedido;1
378;CUST00378;08/06/25;18/06/25;10;Sul;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;189;Não;-;3
379;CUST00379;18/05/25;27/05/25;9;Sul;Limpeza Doméstica;Esponja Múltipla;Cartão Débito;167;Não;-;3
380;CUST00380;20/06/25;26/06/25;6;Sul;Bebidas;Refrigerante Cola 2L;Cartão Crédito;1066;Não;-;3
381;CUST00381;23/05/25;26/05/25;3;Nordeste;Higiene Pessoal;Shampoo 400ml;PIX;1536;Não;-;3
382;CUST00382;09/06/25;19/06/25;10;Sul;Limpeza Doméstica;Desinfetante 1L;PIX;681;Não;-;3
383;CUST00383;13/06/25;22/06/25;9;Sul;Higiene Pessoal;Papel Higiênico c/12;Cartão Crédito;1638;Não;-;3
384;CUST00384;24/05/25;02/06/25;9;Norte;Limpeza Doméstica;Desinfetante 1L;PIX;699;Sim;Produto danificado;2
385;CUST00385;15/06/25;17/06/25;2;Centro-Oeste;Alimentos Básicos;Farinha de Trigo 1kg;Cartão Crédito;795;Não;-;3
386;CUST00386;26/05/25;29/05/25;3;Centro-Oeste;Limpeza Doméstica;Desinfetante 1L;Cartão Crédito;488;Sim;Atraso na entrega;2
387;CUST00387;28/06/25;05/07/25;7;Sul;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Débito;542;Não;-;3
388;CUST00388;26/05/25;28/05/25;2;Sudeste;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1442;Não;-;3
389;CUST00389;21/05/25;26/05/25;5;Norte;Alimentos Básicos;Feijão Carioca (1kg);Cartão Crédito;903;Sim;Cobrança duplicada;1
390;CUST00390;16/06/25;24/06/25;8;Norte;Higiene Pessoal;Sabonete em Barra;Cartão Crédito;198;Não;-;3
391;CUST00391;17/05/25;26/05/25;9;Sul;Bebidas;Cerveja Pilsen 350ml (pack 6);Cartão Crédito;1377;Não;-;3
392;CUST00392;22/06/25;27/06/25;5;Nordeste;Bebidas;Refrigerante Cola 2L;Cartão Crédito;855;Não;-;3
393;CUST00393;28/05/25;29/05/25;1;Centro-Oeste;Alimentos Básicos;Feijão Carioca (1kg);Cartão Crédito;677;Não;-;3
394;CUST00394;04/06/25;11/06/25;7;Norte;Limpeza Doméstica;Sabão em Pó 1kg;Cartão Crédito;1212;Não;-;3
395;CUST00395;21/06/25;30/06/25;9;Sul;Limpeza Doméstica;Desinfetante 1L;PIX;331;Não;-;3
396;CUST00396;15/05/25;18/05/25;3;Centro-Oeste;Bebidas;Refrigerante Cola 2L;Cartão Débito;861;Não;-;3
397;CUST00397;23/05/25;29/05/25;6;Norte;Bebidas;Água Mineral 1,5L;Cartão Débito;421;Não;-;3
398;CUST00398;17/06/25;22/06/25;5;Centro-Oeste;Alimentos Básicos;Farinha de Trigo 1kg;PIX;741;Sim;Produto danificado;1
399;CUST00399;13/06/25;19/06/25;6;Norte;Higiene Pessoal;Sabonete em Barra;PIX;186;Sim;Prazo de entrega excedido;2
400;CUST00400;29/05/25;31/05/25;2;Sudeste;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;402;Não;-;3
401;CUST00401;30/06/25;01/07/25;1;Centro-Oeste;Alimentos Básicos;Arroz Tipo 1 (5kg);Cartão Débito;1627;Não;-;3
402;CUST00402;25/05/25;31/05/25;6;Norte;Bebidas;Cerveja Pilsen 350ml (pack 6);PIX;1458;Não;-;3
403;CUST00403;27/05/25;28/05/25;1;Sudeste;Limpeza Doméstica;Detergente Líquido 500ml;Cartão Crédito;528;Não;-;3
